AppTime,WallTime,Throughput
5.73,3289,478
5.61,3277,480
5.52,3270,481
5.59,3277,480
5.48,3267,481
5.61,3299,477
5.61,3285,479
5.60,3271,481
5.59,3290,478
5.59,3277,480
5.59,3268,481
5.62,3273,480
5.62,3272,481
5.61,3287,478
5.62,3271,481
5.60,3273,480
5.61,3273,480
5.64,3278,480
5.60,3277,480
5.61,3261,482
5.52,3276,480
5.62,3278,480
5.61,3273,480
5.64,3308,475
5.60,3276,480
5.61,3280,479
5.63,3280,479
5.59,3274,480
5.59,3261,482
5.59,3271,481
5.59,3271,481
5.59,3266,481
5.67,3314,474
5.59,3280,479
5.58,3267,481
5.60,3279,480
5.66,3279,480
5.75,3284,479
5.65,3283,479
5.60,3272,481
5.59,3262,482
5.60,3282,479
5.57,3268,481
5.59,3278,480
5.60,3277,480
5.64,3280,479
5.59,3279,480
5.60,3280,479
5.60,3280,479
5.60,3278,480
